,precision,recall,f1-score,support
C0,0.6190476190476191,0.5064935064935064,0.5571428571428572,77.0
C1,0.4166666666666667,0.4605263157894737,0.4375,76.0
C2,0.36363636363636365,0.3684210526315789,0.3660130718954248,76.0
C3,0.5494505494505495,0.6493506493506493,0.5952380952380952,77.0
C4,0.6268656716417911,0.5526315789473685,0.5874125874125874,76.0
accuracy,0.5078534031413613,0.5078534031413613,0.5078534031413613,0.5078534031413613
macro avg,0.5151333740885979,0.5074846206425153,0.5086613223377929,382.0
weighted avg,0.5154952364454591,0.5078534031413613,0.5090148781171263,382.0
