,precision,recall,f1-score,support
C0,0.5555555555555556,0.45454545454545453,0.5,77.0
C1,0.4666666666666667,0.5526315789473685,0.5060240963855421,76.0
C2,0.3939393939393939,0.17105263157894737,0.23853211009174313,76.0
C3,0.45081967213114754,0.7142857142857143,0.5527638190954773,77.0
C4,0.4864864864864865,0.47368421052631576,0.48,76.0
accuracy,0.4738219895287958,0.4738219895287958,0.4738219895287958,0.4738219895287958
macro avg,0.4706935549558501,0.47323991797676007,0.45546400511455254,382.0
weighted avg,0.4708636809186118,0.4738219895287958,0.455835303043522,382.0
